事件,时间,实体1,触发词,实体2,原句
政党支持,佩洛西访台期间,民主进步党、中国国民党、台湾民众党、时代力量、台湾基进、台湾团结联盟等政党,表示欢迎,佩洛西访台,民主进步党、中国国民党、台湾民众党、时代力量、台湾基进、台湾团结联盟等政党对佩洛西访台表示欢迎。
政党抗议,佩洛西访台期间,新党、中华统一促进党等团体,举行抗议活动,佩洛西访台,新党、中华统一促进党等团体则举行抗议活动。
政治反对,7月20日,美国总统乔·拜登,表示,美国军方官员相信，众议院议长佩洛西此刻访问台湾“不是一个好主意”,美国总统乔·拜登最初于7月20日表示，美国军方官员相信，众议院议长南希·佩洛西此刻访问台湾“不是一个好主意”。
政治支持,8月1日,白宫国家安全发言人约翰·柯比,表示,佩洛西有权访问台湾,然而8月1日，白宫国家安全发言人约翰·柯比（John Kirby）表示，佩洛西有权访问台湾
政治支持,8月2日,约翰·柯比,重申,佩洛西此行完全符合相关法案,8月2日，佩洛西抵达台湾后，约翰·柯比重申，称佩洛西此行完全符合美方以与台湾关系法、美中三公报与六项保证为指引的一中政策
发表声明,8月2日,佩洛西,发表声明,认为此次访台符合规定,佩洛西在抵达台湾后也发表声明，认为此次访台是“符合与台湾关系法、中美三个联合公报和‘六项保证’的”
民众失望,None,部分民众,感到不满与失望,中华人民共和国政府没有展示出预期的强硬举动,有民众对于中华人民共和国政府没有展示出预期的强硬举动而感到不满与失望，而相对的，也有民众对此表示理解
外交抗议,None,中国大陆各部门,发表声明,就佩洛西访问台湾表示坚决反对，对美方强烈谴责，并向美方提出抗议,中华人民共和国外交部、中华人民共和国国防部、国务院台湾事务办公室、全国人大常委会、全国政协外事委员会、香港特别行政区政府、澳门特别行政区政府、八大民主党派发表声明，就佩洛西访问台湾表示坚决反对，对美方强烈谴责，并向美方提出抗议。
网络攻击,8月2日,中华民国总统府网站,遭到,网络攻击,8月2日，中华民国总统府网站受到网络攻击
网络攻击,8月3日,台湾7-Eleven、台铁新左营站的萤幕,出现,反佩洛西文字,8月3日，台湾7-Eleven及台铁新左营站的萤幕遭骇，出现反佩洛西文字
网络攻击,8月3日 23时27分左右,中华民国国防部、总统府、外交部等部会官网,遭受,攻击,23时27分左右，中华民国国防部、总统府、外交部等部会官网遭受攻击，并一度瘫痪
网络攻击,8月4日深夜,高雄市政府环境保护局饮用水网站,遭受,攻击,8月4日深夜，高雄市政府环境保护局饮用水网站遭攻击
网络攻击,8月4日,中华民国内政部警政署,宕机,None,中华民国内政部警政署用于受理报案、调查资料的“警政知识联网”和“M-Police”网站也于同日宕机
网络攻击,8月6日晚间,民视直播,被插入,反台独内容,8月6日晚间，民视新闻台YouTube直播信号被插入反台独画面及歌曲《我和我的祖国》
网络攻击,8月7日,台湾大学教务处、研发处网站,遭受,攻击,8月7日，台湾大学教务处、研发处网站遭骇
网络攻击,未给出具体时间,APT27,宣称,主使网络攻击,APT 27在社交平台上宣称主使网络攻击
制裁,8月3日,国务院台办,宣布,制裁台独顽固分子,8月3日，国务院台办宣布对台湾民主基金会、国际合作发展基金会等“台独顽固分子”采取惩戒措施，禁止其与中国大陆组织、企业、个人合作。禁止中国大陆组织、企业、个人与为上述基金会捐款的企业进行任何交易、合作，禁止有关企业负责人入境。
制裁,8月5日,中华人民共和国外交部,制裁,佩洛西及其直系亲属,8月5日，中华人民共和国外交部以“佩洛西不顾中方严重关切和坚决反对执意窜台，严重干涉中国内政，严重损害中国主权和领土完整，严重践踏一个中国原则，严重威胁台海和平稳定”为由，对美国国会众议长佩洛西及其直系亲属采取制裁措施。
撤销合作,8月5日,中华人民共和国外交部,取消,多项中美商谈,同时宣布取消安排中美两军战区领导通话、取消中美国防部工作会晤、取消中美海上军事安全磋商机制会议、暂停中美非法移民遣返合作、暂停中美刑事司法协助合作、暂停中美打击跨国犯罪合作、暂停中美禁毒合作和暂停中美气候变化商谈。
政治制裁,8月16日,中共中央台办,公布,台独顽固分子清单,8月16日，中共中央台办发言人受权宣布，公布萧美琴、顾立雄、蔡其昌、柯建铭、林飞帆、陈椒华、王定宇等为列入清单的“台独”顽固分子。发言人表示，当日公布的“台独”顽固分子名单并非清单的全部。
贸易封锁,8月1日,中华人民共和国海关总署,禁止,进口台湾多种产品,8月1日，中华人民共和国海关总署宣布禁止进口台湾一百多家食品，包含茶叶、农渔等产品。
贸易封锁,8月3日,中国大陆方面,暂停,多种物品出口台湾,8月3日，中国大陆方面宣布即日起暂停天然砂对台湾出口
发表声明,8月4日,陆委会发言人邱垂正,表示,采取必要反制措施,8月4日，陆委会发言人邱垂正表示，将依事态发展研议采取必要反制措施。
企业撤销合作,佩洛西访台后,在华企业,表态,与台湾切割,从酱油生产商到专事亚洲业务的资产管理公司，处于地缘政治紧张局势之中的在华企业纷纷表态，与台湾切割。
贸易封锁,None,中华人民共和国海关,卡关,台湾民众,另有传言称台湾民众在淘宝网购买的商品恐遭中华人民共和国海关卡关。但仍有网民表示，自己刚刚下单网购，大陆客服即告知“台湾全部停发”。
外交访问,佩洛西访台后,美欧日等多国政要,访,台湾,此后仍有其他美欧日等多国政要不顾中国施压持续访台或正考虑安排访台行程。
逮捕人员,8月3日,温州市国家安全局,逮捕,台湾民族党副主席杨智渊,8月3日，台湾民族党副主席杨智渊在浙江温州被捕，被控从事台独分裂活动
军工股上行,8月1日,中国军工概念股,大涨,None,8月1日，佩洛西抵达台湾前，中国大陆A股中的军工概念股被大力追捧，多支股票涨幅超过10%，最高涨幅甚至超过20%。
台湾股市下行,8月2日,台湾加权指数,下跌,None,"8月2日，台湾加权指数开盘一度下跌逾300点，终场指数下跌234.46点，跌幅1.56%，收在14,747.23点，成交值新台币2,148.76亿元。上海综合指数下跌45点，跌幅1.3%，收在3,186.27点。美股、欧股及全球半导体产业股价也受到影响出现下跌。"
台湾股市震荡,8月3日,台湾加权指数,平盘震荡,None,8月3日，台湾加权指数维持平盘震荡，终场上涨29.79点。台北及元太外汇市场新台币兑美元汇率以30.02元开盘，最低来到30.026元，终场以29.99元作收，升0.6分，外汇市场总成交金额13.39亿美元。
汇市波动,8月3日,外资,汇出,None,中华民国中央银行外汇局局长蔡炯民于8月5日在记者会上就台海擦枪走火导致外资恐慌性汇出背景下如何维持汇市稳定问题回答道，如同央行总裁杨金龙日前表态“没有问题”，外汇存底非常充裕，各方面流动性足够，且台湾经常账户长期呈现顺差。
发表声明,8月5日,特朗普,嘲讽,佩洛西访台,8月5日，美国前总统唐纳德·特朗普在造势活动上嘲讽佩洛西，认为佩洛西访台给了北京实现两岸统一的好借口。
政治表态,8月12日,美国国家安全委员会协调员库尔特·坎贝尔,表示,中国反应过度,8月12日，美国国家安全委员会印太事务协调员库尔特·坎贝尔表示，中国反应过度，其行动继续具有挑衅性，并且破坏地区稳定。
政治表态,8月4日晚,美国国家安全委员会协调员库尔特·坎贝尔,发表,我们坚决支持中国政府为捍卫国家主权和领土完整所采取的一切必要措施,中国国民党革命委员会中央委员会、中国民主同盟中央委员会、中国民主建国会中央委员会、中国民主促进会中央委员会、中国农工民主党中央委员会、中国致公党中央委员会、九三学社中央委员会和台湾民主自治同盟中央委员会八大民主党派发表的联合声明，重申对台的一贯主张，声明末尾提及“中国各民主党派作为中国特色社会主义参政党，有着热爱祖国和爱好和平的光荣传统，一直努力推动两岸关系和平发展，是国家主权安全发展利益的坚定捍卫者”，“我们坚决支持中国政府为捍卫国家主权和领土完整所采取的一切必要措施”。
华侨反对,None,海外华人团体,抗议,佩洛西访问台湾,访台期间，新党、中华统一促进党、中华爱国同心会、世界华人保钓联盟、台湾人民共产党、台湾统一义勇军、蓝天行动联盟等团体，针对佩洛西访台举行了抗议活动。
